Iniciativa;Dia/Semana;Data Inicial;Data Final;Principal usuario;Mencao inicial;Assunto;Impacto;Titulos;Posts;Usuarios;Alcance Potencial;RTs;Posts/Dia;Sent. Positivo;Sent. Negativo;Sent. Neutro;Duracao;Atualizacoes
Gauge;NA;2018-01-01;2018-01-03;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08852/17: (BAIXO) Perfil realiza associação política com executivos do Itaú;87;87;8179;NA;29;NA;NA;NA;3;1
Gauge;NA;2018-01-02;2018-01-04;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08854/18: (BAIXO) Perfil Brasil com Bolsonaro realiza nova menção em resposta à João Amoêdo;61;61;8179;NA;20;NA;NA;NA;3;1
Gauge;NA;2018-01-05;2018-01-05;NA;NA;Relações Trabalhistas;Baixo;ALERTA DE RISCO 12855/18: (BAIXO) Sindicato dos Bancários publica sobre alterações de escalas pelo Itaú;12;12;20864;NA;12;NA;NA;NA;1;0
Gauge;NA;2018-01-07;2018-01-08;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08856/18: (BAIXO) Alexandre Frota compara Luciano Huck ao Itaú;38;36;42699;NA;19;NA;NA;NA;2;0
Gauge;NA;2018-01-08;2018-01-08;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06857/18: (BAIXO) Influenciador realiza nova reclamação sobre supostas ligações do banco;4;2;87348;NA;4;NA;NA;NA;1;0
Gauge;NA;2018-01-09;2018-01-10;NA;NA;Produtos e Serviços;Sem impacto;ALERTA DE RISCO 06860/18: (BAIXO) Influenciadora critica Itaú no Instagram Stories;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-01-09;2018-01-11;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03858/18: (BAIXO) Internauta faz piada sobre o atendimento do Itaú;113;112;4195;NA;37;NA;NA;NA;3;3
Gauge;NA;2018-01-09;2018-01-09;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06859/18: (BAIXO) Influenciadora se queixa por valor cobrado pelo saque em banco 24h;2;2;100135;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-01-11;2018-01-11;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08862/18: (BAIXO) Perfil relaciona Itaú ao Partido dos Trabalhadores;41;35;32002;NA;41;NA;NA;NA;1;0
Gauge;NA;2018-01-11;2018-01-11;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07861/18: (BAIXO) Portal publica matéria e cita o Itaú negativamente;8;8;61398;NA;8;NA;NA;NA;1;0
Gauge;NA;2018-01-11;2018-01-11;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 08863/18: (BAIXO) Internauta critica atendente supostamente induzir a contratação de um empréstimo;2;2;814;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-01-12;2018-01-12;NA;NA;Produtos e Serviços;Sem impacto;ALERTA DE RISCO 06864/18: (BAIXO) Portais divulgam contatos de bancos para auxiliar correntistas;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-01-12;2018-01-15;NA;NA;Comunicacao;Baixo;ALERTA INFORMATIVO 04865/18: (BAIXO) Influenciador faz sugestão sobre campanha do Itaú;3;1;118089;NA;1;NA;NA;NA;4;0
Gauge;NA;2018-01-15;2018-01-16;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06867/18: (BAIXO) Queixas sobre o APP Itaú estar fora do ar;85;78;93283;NA;43;NA;NA;NA;2;1
Gauge;NA;2018-01-15;2018-01-15;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 08868/18: (BAIXO) Internauta roubado em pré-carnaval se queixa por ter compra efetuada em seu cartão Itaú;62;61;32712;NA;62;NA;NA;NA;1;0
Gauge;NA;2018-01-15;2018-01-16;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 08869/18: (BAIXO) Atendente do Itaú comete falha ao responder influenciador;40;40;7604;NA;20;NA;NA;NA;1;0
Gauge;NA;2018-01-15;2018-01-15;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08866/18: (BAIXO) Líder do MST faz crítica sobre entrevista de economista-chefe do Itaú;24;24;61112;NA;24;NA;NA;NA;1;0
Gauge;NA;2018-01-16;2018-01-17;NA;NA;Mobilidade;Baixo;ALERTA DE RISCO 09870/18: (BAIXO) Influenciador questiona disponibilidade de bikes;1;1;54601;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-01-18;2018-01-19;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08875/18: (BAIXO) Portal publica matéria associando estudo divulgado pelo Itaú;28;28;3090;NA;14;NA;NA;NA;1;0
Gauge;NA;2018-01-18;2018-01-19;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07874/18: (BAIXO) Usuária publica foto de depredação em agência;12;12;1860;NA;6;NA;NA;NA;2;0
Gauge;NA;2018-01-18;2018-01-18;NA;NA;Produtos e Serviços;Baixo;ALERTA DE INFORMATIVO 06871/18: (BAIXO) Itaú lança plataforma digital na Argentina;2;2;149840;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-01-18;2018-01-18;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06872/18: (BAIXO) YouTuber critica app do Itaú;2;1;62495;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-01-19;2018-02-01;NA;NA;Produtos e Serviços;Moderado;ALERTA DE RISCO 06873/18: (MODERADO) Internauta divulga reclamação em rede de TV;265;223;1828;NA;18;NA;NA;NA;14;2
Gauge;NA;2018-01-19;2018-01-19;NA;NA;Produtos e Serviços;Moderado;ALERTA DE RISCO 06873/18: (MODERADO) Internauta divulga reclamação em rede de TV;262;220;1828;NA;52;NA;NA;NA;1;0
Gauge;NA;2018-01-22;2018-01-22;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06876/18: (BAIXO) Influenciadora alega não conseguir acessar o aplicativo;8;8;68418;NA;8;NA;NA;NA;1;0
Gauge;NA;2018-01-22;2018-01-24;NA;NA;Relações Trabalhistas;Baixo;ALERTA DE RISCO 12881/18: Repercussão sobre falecimento de bancário do Itaú;2;2;20845;NA;2;NA;NA;NA;3;1
Gauge;NA;2018-01-23;2018-01-23;NA;NA;Relações Políticas;Baixo;ALERTA INFORMATIVO 08879/18: (BAIXO) Jornalista critica discurso política de Stedile e cita o Itaú;37;37;185504;NA;37;NA;NA;NA;1;0
Gauge;NA;2018-01-23;2018-01-23;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03878/18: (BAIXO) Usuária se queixa de atendimento do Itaú;10;10;10000;NA;10;NA;NA;NA;1;0
Gauge;NA;2018-01-23;2018-01-23;NA;NA;Institucional;Baixo;ALERTA DE INFORMATIVO 07877/18: (BAIXO) Apresentador critica Caixa e elogia Itaú;9;9;641304;NA;9;NA;NA;NA;1;0
Gauge;NA;2018-01-24;2018-01-24;NA;NA;Institucional;Baixo;ALERTA RISCO 07880/18: (BAIXO) Repercute presença de presidente do Itaú em reunião;11;11;2551906;NA;11;NA;NA;NA;1;0
Gauge;NA;2018-01-25;2018-01-26;NA;NA;Relações Políticas;Moderado;ALERTA DE RISCO 08883/18: (MODERADO) Líder do PT anuncia Itaú como inimigo;116;112;1220118;NA;58;NA;NA;NA;2;4
Gauge;NA;2018-01-25;2018-01-25;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07882/18: (BAIXO) G1 compartilha matéria sequestro de gerente do Itaú;2;2;151;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-01-30;2018-01-30;NA;NA;Mobilidade;Sem impacto;"ALERTA INFORMATIVO 09884/18: João Doria publica sobre a inauguração do ""Bike Sampa""";0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-01-30;2018-01-31;NA;NA;Relações Políticas;Baixo;"ALERTA DE RISCO 09885/18: Usuária faz críticas ao ""Bike Sampa"" e cita o Itaú";87;87;5680;NA;44;NA;NA;NA;2;1
Gauge;NA;2018-02-01;2018-02-01;NA;NA;Agência;Sem impacto;ALERTA DE RISCO 11887/18: Internauta faz comentário negativo sobre ocorrido em agência;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-02-01;2018-02-02;NA;NA;Relações Trabalhistas;Moderado;ALERTA DE RISCO 12886/18: (MODERADO) Sindicalistas protestam contra a Reforma Trabalhista;123;97;1051994;NA;62;NA;NA;NA;2;7
Gauge;NA;2018-02-01;2018-02-02;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06888/18: (BAIXO) Portal publica nova matéria sobre Apple Pay;44;44;98858;NA;44;NA;NA;NA;2;0
Gauge;NA;2018-02-01;2018-02-02;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08889/17: (BAIXO) Influenciadora indica Partido Novo e nega vínculo de Amoedo co o Itaú;5;2;227000;NA;5;NA;NA;NA;2;0
Gauge;NA;2018-02-02;2018-02-02;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08890/17: (BAIXO) Usuária questiona envolvimento do Partido Novo ao Itaú e Instituto Alana;3;2;120;NA;3;NA;NA;NA;1;0
Gauge;NA;2018-02-03;2018-02-05;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06891/18: (BAIXO) Portais e usuários repercutem sobre chegada da Apple Pay;26;23;759422;NA;9;NA;NA;NA;3;1
Gauge;NA;2018-02-05;2018-02-07;NA;NA;Institucional;Extremo;ALERTA DE CRISE 07892/18: (EXTREMO) Repercussão sobre Balanço Financeiro do Itaú;2968;2649;31218089;NA;742;NA;NA;NA;4;5
Gauge;NA;2018-02-05;2018-02-05;NA;NA;Institucional;Baixo;ALERTA DE CRISE 07893/16: (BAIXO) Influenciador se queixa de alta taxa de transferência internacional;13;13;12328;NA;13;NA;NA;NA;1;0
Gauge;NA;2018-02-05;2018-02-05;NA;NA;Agência;Baixo;ALERTA DE RISCO 11892/18: (BAIXO) Portais e usuários repercutem sobre invasão de criminosos em uma agência;10;10;1624156;NA;10;NA;NA;NA;1;0
Gauge;NA;2018-02-06;2018-02-06;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07895/18: (BAIXO) Repercussão de depoimento do presidente do Itaú sobre crédito consignado;61;53;13248298;NA;31;NA;NA;NA;1;1
Gauge;NA;2018-02-08;2018-02-08;NA;NA;Agência;Baixo;ALERTA DE RISCO 11896/18: (BAIXO) Assalto na agência 6733 - São José/SP;2;2;10792;NA;2;NA;NA;NA;1;1
Gauge;NA;2018-02-09;2018-02-15;NA;NA;Relações Trabalhistas;Alto;ALERTA DE RISCO 12897/18: (ALTO) Sindicato alega ter recuperado 142 mil para bancários do Itaú;1061;1044;19329;NA;151;NA;NA;NA;7;0
Gauge;NA;2018-02-11;2018-02-15;NA;NA;Institucional;Extremo;ALERTA DE CRISE 07894/16: (EXTREMO) Itaú acusado de intermediar compra de jatinho de Luciano Huck;2052;1770;3604881;NA;410;NA;NA;NA;6;0
Gauge;NA;2018-02-17;2018-02-19;NA;NA;Relações Políticas;Moderado;ALERTA DE RISCO 08898/18: (MODERADO) Sindicato anuncia greve na próxima segunda-feira;92;83;1330372;NA;30;NA;NA;NA;3;1
Gauge;NA;2018-02-18;2018-02-19;NA;NA;Comunicacao;Sem impacto;"ALERTA DE RISCO 04899/18: Novo internauta publica vídeo negativo sobre a campanha ""Eu sou o futuro""";0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-02-20;2018-02-20;NA;NA;Relações Políticas;Sem impacto;ALERTA DE RISCO 08901/18: (BAIXO) Deputada faz críticas ao governo Temer e utiliza imagem do Itaú;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-02-20;2018-02-20;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08900/18: O portal O Globo publica matéria sobre nova entrevista de Mario Mesquita;18;14;5570129;NA;18;NA;NA;NA;1;1
Gauge;NA;2018-02-21;2018-02-26;NA;NA;Produtos e Serviços;Moderado;ALERTA INFORMATIVO 06709/17: (MODERADO) Repercussão sobre o Credicard Zero;200;168;2554944;NA;33;NA;NA;NA;6;6
Gauge;NA;2018-02-21;2018-02-21;NA;NA;Relações Políticas;Moderado;ALERTA DE RISCO 08902/18: Internautas utilizam o logo do Itaú para associação com o Partido NovO;103;103;563;NA;103;NA;NA;NA;1;0
Gauge;NA;2018-02-21;2018-02-21;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08903/18: (BAIXO) Influenciador realiza nova associação de João Amoedo ao Itaú e cita Carf;44;45;3383;NA;44;NA;NA;NA;1;0
Gauge;NA;2018-02-21;2018-02-21;NA;NA;Institucional;Baixo;ALERTA INFORMATIVO 07904/18: (BAIXO) Repecussão sobre o Itaú e tecnologia do Ripple;1;1;205202;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-02-22;2018-02-23;NA;NA;Relações Trabalhistas;Baixo;ALERTA DE RISCO 12906/18: (BAIXO) Portal publica matéria sobre condenação do Itaú em caso trabalhista;10;10;84941;NA;2;NA;NA;NA;2;1
Gauge;NA;2018-02-22;2018-02-22;NA;NA;Produtos e Serviços;Baixo;ALERTA INFORMATIVO 06905/18: (BAIXO) Internauta se queixa por não conseguir comprar ingressos sem ir a uma agência;2;2;131000;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-02-23;2018-02-26;NA;NA;Produtos e Serviços;Extremo;ALERTA DE CRISE 06908/18: (EXTREMO) Felipe Neto critica ItauCard;750;725;7920827;NA;617;NA;NA;NA;4;6
Gauge;NA;2018-02-23;2018-02-24;NA;NA;Institucional;Extremo;ALERTA DE CRISE 07907/18: (EXTREMO) Ativista Guilherme Boulos realiza crítica sobre lucro dos bancos;707;707;580797;NA;236;NA;NA;NA;3;4
Gauge;NA;2018-02-23;2018-02-23;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08909/18: (BAIXO) Alexandre Frota compara Itaú ao Partido Novo;13;13;45287;NA;13;NA;NA;NA;1;0
Gauge;NA;2018-02-24;2018-02-24;NA;NA;Diversidade;Sem impacto;ALERTA INFORMATIVO 07910/18: MP descarta crime de pedofilia em exposição do MAM;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-02-25;2018-02-25;NA;NA;Institucional;Sem impacto;ALERTA INFORMATIVO 07911/18: Suposto anúncio contendo vírus feito em nome do Itaú;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-02-26;2018-02-26;NA;NA;Relacionamento;Baixo;ALERTA DE OPORTUNIDADE 10913/18: (BAIXO) Perfil cita o Itaú em tweet sobre situação do palmeiras;18;18;67300;NA;18;NA;NA;NA;1;0
Gauge;NA;2018-02-26;2018-02-26;NA;NA;Relacionamento;Baixo;ALERTA DE OPORTUNIDADE 10912/18: (BAIXO) Internauta declara ser cliente Itaú Personnalité;3;3;24100;NA;3;NA;NA;NA;1;0
Gauge;NA;2018-02-26;2018-02-28;NA;NA;Relacionamento;Baixo;ALERTA DE OPORTUNIDADE 10916/18: (BAIXO) Internauta elogia nova máquina da Redecard;1;1;132;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-02-27;2018-02-27;NA;NA;Produtos e Serviços;Sem impacto;ALERTA DE RISCO 06914/18: Duda Nagle reclama de benefício do Mastercard Black;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-02-27;2018-02-28;NA;NA;Relações Trabalhistas;Alto;ALERTA DE RISCO 08915/18: (ALTO) Influenciador menciona associação de George Soros com o Partido Novo;261;240;619866;NA;131;NA;NA;NA;1;0
Gauge;NA;2018-02-27;2018-02-27;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08918/18: (BAIXO) Internauta relaciona Luciano Huck na política e o Itaú;40;37;1638;NA;40;NA;NA;NA;1;0
Gauge;NA;2018-02-27;2018-02-27;NA;NA;Relacionamento;Baixo;ALERTA DE OPORTUNIDADE 10917/18: (BAIXO) Internauta elogia serviço da Rede;1;1;171;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-01;2018-03-09;NA;NA;Institucional;Extremo;ALERTA DE RISCO 07921/18 (EXTREMO): Portal compartilha matéria sobre Itaú acusar uma cliente por estupro;3416;2929;9437411;NA;379;NA;NA;NA;9;24
Gauge;NA;2018-03-01;2018-03-02;NA;NA;Relações Políticas;Baixo;ALERTA INFORMATIVO 08919/18: (BAIXO) Repercussão Planos Econômicos;31;31;11786041;NA;16;NA;NA;NA;2;3
Gauge;NA;2018-03-01;2018-03-01;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03920/18: (BAIXO) Influenciador critica falta de atendimento sobre sua conta;12;12;63857;NA;12;NA;NA;NA;1;0
Gauge;NA;2018-03-05;2018-03-05;NA;NA;Mobilidade;Baixo;ALERTA DE RISCO 09923/18 (BAIXO): Perfil divulga imagens de Bikes do Itaú sem pedais;48;42;1773680;NA;48;NA;NA;NA;1;0
Gauge;NA;2018-03-05;2018-03-05;NA;NA;Mobilidade;Baixo;ALERTA DE RISCO 09922/18 (BAIXO): Perfil questiona Itaú sobre suposto abandono do Bike Rio;8;8;1773680;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-07;2018-03-07;NA;NA;Mobilidade;Baixo;ALERTA INFORMATIVO 09924/18 (BAIXO): Sátira de programa da Rede Globo é comparada com bikes do Itaú;5;5;5514;NA;5;NA;NA;NA;1;0
Gauge;NA;2018-03-11;2018-03-13;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08927/18 (BAIXO): Insinuação de apoio do Itaú com a campanha eleitoral de Marina Silva;37;36;524294;NA;12;NA;NA;NA;1;0
Gauge;NA;2018-03-12;2018-03-12;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07926/18 (BAIXO): Influenciador critica aproximação entre Itaú e Luciano Huck;2;2;62094;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-03-12;2018-03-12;NA;NA;Agência;Baixo;ALERTA DE RISCO 11925/18 (BAIXO): Mulher alega ter tirado a blusa para passar por porta giratória;1;1;51;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-14;2018-03-15;NA;NA;Institucional;Moderado;ALERTA DE RISCO 07931/18 (MODERADO): Cade aprova compra de fatia na XP pelo Itaú;202;196;34520305;NA;101;NA;NA;NA;1;0
Gauge;NA;2018-03-14;2018-03-15;NA;NA;Institucional;Alto;ALERTA DE RISCO 07928/18 (ALTO): Ladrão diz que obras do Itaú Cultural são da Biblioteca Nacional;200;191;19860166;NA;100;NA;NA;NA;2;8
Gauge;NA;2018-03-14;2018-03-15;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08930/18 (BAIXO): Presença de Presidente do Itaú no Fórum Econômico Mundial repercute;79;68;35261543;NA;39;NA;NA;NA;2;0
Gauge;NA;2018-03-14;2018-03-15;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08931/18 (BAIXO): Repercute acusações que Barroso teria beneficiado Itaú;63;58;1316872;NA;31;NA;NA;NA;1;0
Gauge;NA;2018-03-14;2018-03-15;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07929/18 (BAIXO): Julgamento no CARF relacionado à fusão entre Itaú e Unibanco;16;15;310946;NA;8;NA;NA;NA;2;0
Gauge;NA;2018-03-16;2018-03-16;NA;NA;Atendimento;Moderado;ALERTA DE RISCO 03933/18 (MODERADO): Angélica Martins solicita atendimento do Itaú;3;1;240250;NA;3;NA;NA;NA;1;0
Gauge;NA;2018-03-17;2018-03-18;NA;NA;Diversidade;Extremo;ALERTA DE CRISE 07934/18 (EXTREMO): Influenciadora relembra assuntos polêmicos do Itaú e critica divulgação de cão guia;1087;1087;1132323;NA;543;NA;NA;NA;2;2
Gauge;NA;2018-03-18;2018-03-19;NA;NA;Produtos e Serviços;Moderado;ALERTA DE RISCO 06935/18 (MODERADO): Juros do Itaú cobrados aos paraguaios são menores que aos brasileiros;240;229;1504094;NA;120;NA;NA;NA;2;0
Gauge;NA;2018-03-18;2018-03-19;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06936/18 (BAIXO): Aplicativo do Itaú apresenta instabilidade;54;48;744191;NA;54;NA;NA;NA;2;0
Gauge;NA;2018-03-19;2018-03-19;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03937/18 (BAIXO): Influenciador se queixa de atendimento prestado à sua mãe;5;5;88714;NA;5;NA;NA;NA;1;0
Gauge;NA;2018-03-20;2018-03-21;NA;NA;Relações Políticas;Sem impacto;ALERTA DE INFORMATIVO 08938/18: Petição criada no Avaaz pede o boicote à Copa do Mundo;0;NA;NA;NA;NA;NA;NA;NA;1;1
Gauge;NA;2018-03-20;2018-03-20;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 05939/18: Influenciadora compartilha tweet que sugere que o Itaú faz uso dos dados de seus seguidores;6;6;146000;NA;5;NA;NA;NA;1;0
Gauge;NA;2018-03-20;2018-03-20;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03940/18: Influenciador se queixa por não conseguir aumento de crédito;1;1;47800;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-21;2018-03-22;NA;NA;Produtos e Serviços;Moderado;ALERTA DE RISCO 06942/18 (MODERADO): Nubank abre processo no Cade contra Itaú;165;146;13844216;NA;82;NA;NA;NA;2;3
Gauge;NA;2018-03-21;2018-03-21;NA;NA;Produtos e Serviços;Baixo;ALERTA DE OPORTUNIDADE 06941/18 (BAIXO): Influenciador elogia seguro auto Itaú;1;1;78669;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-22;2018-03-23;NA;NA;Produtos e Serviços;Baixo;ALERTA DE OPORTUNIDADE 06945/18 (BAIXO): Influenciadora especula sobre taxa da previdência;92;89;11460;NA;46;NA;NA;NA;2;0
Gauge;NA;2018-03-22;2018-03-22;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03944/18 (BAIXO): Influenciador se queixa por não conseguir solucionar problema com o banco;1;1;17200;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-23;2018-03-23;NA;NA;Diversidade;Baixo;ALERTA DE INFORMATIVO 07947/18 (BAIXO): Mulher assume cadeira no Conselho do Itaú pela primeira vez;2;2;453533;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-03-23;2018-03-29;NA;NA;Institucional;Moderado;ALERTA DE RISCO 07955/18 (MODERADO): Repercussão da semana Caso Laéssio;408;389;14721576;NA;68;NA;NA;NA;7;0
Gauge;NA;2018-03-23;2018-03-24;NA;NA;Institucional;Moderado;ALERTA DE RISCO 07946/18 (MODERADO): Perícia confirma que obras expostas no Itaú Cultural eram da Biblioteca Nacional;249;228;13827407;NA;124;NA;NA;NA;2;5
Gauge;NA;2018-03-23;2018-03-23;NA;NA;Agência;Baixo;ALERTA DE RISCO 11943/18 (BAIXO): Perfil compartilha imagem de mulher que supostamente faleceu no Itaú;1;1;114;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-24;2018-03-26;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07948/18 (BAIXO): Brasil 247 publica suposto interesse de Itaú em gasoduto da Petrobras;4;3;20995;NA;1;NA;NA;NA;3;0
Gauge;NA;2018-03-24;2018-03-26;NA;NA;Institucional;Baixo;ALERTA DE INFORMATIVO 06949/18 (BAIXO): Repercussão sobre suposta compra entre Itaú e Nubank;1;1;15;NA;1;NA;NA;NA;3;0
Gauge;NA;2018-03-25;2018-03-25;NA;NA;Agência;Baixo;ALERTA DE RISCO 12947/18 (BAIXO): Perfil faz brincadeiras sobre cliente do Itaú de cueca devido a porta do Itaú travar;65;65;86100;NA;65;NA;NA;NA;1;0
Gauge;NA;2018-03-26;2018-03-26;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06951/18 (BAIXO): Influenciador se queixa por não conseguir utilizar o chat;2;2;53500;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-03-26;2018-03-26;NA;NA;Agência;Baixo;ALERTA DE RISCO 12950/18 (BAIXO): Internauta se queixa por não poder utilizar o caixa eletrônico;1;1;139;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-27;2018-03-27;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07953/18 (BAIXO): O Antagonista substitui nome da Seleção Brasileira por Itaú;6;5;478873;NA;6;NA;NA;NA;1;0
Gauge;NA;2018-03-27;2018-03-27;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03954/18 (BAIXO): Influenciador critica SAC do Itaú;6;5;175529;NA;6;NA;NA;NA;1;0
Gauge;NA;2018-03-27;2018-03-27;NA;NA;Relacionamento;Baixo;ALERTA DE OPORTUNIDADE 10952/18 (BAIXO): Internauta demonstra interesse em serviços da Rede;3;3;1044;NA;1;NA;NA;NA;9;0
Gauge;NA;2018-03-29;2018-03-30;NA;NA;Institucional;Moderado;ALERTA DE RISCO 07958/18 (MODERADO): Jornalista critica bancos por abusarem de tarifas e taxas;78;78;24870;NA;39;NA;NA;NA;2;0
Gauge;NA;2018-03-29;2018-03-29;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07963/18 (BAIXO): Influenciador critica Itaú por não estar disponível no Samsung Pay;9;9;68300;NA;9;NA;NA;NA;1;0
Gauge;NA;2018-03-29;2018-03-29;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03957/18 (BAIXO): Influenciador se queixa por não receber atendimento do Itaucard;1;1;19800;NA;1;NA;NA;NA;1;0
Gauge;NA;2018-03-30;2018-04-02;NA;NA;Produtos e Serviços;Moderado;ALERTA DE RISCO 06959/18 (MODERADO): Repercussão sobre a atualização do app Itaú;168;160;239452;NA;42;NA;NA;NA;4;3
Gauge;NA;2018-03-30;2018-04-02;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06960/18: (BAIXO) Repercussão de anúncio do Itaú sobre a Apple Pay;41;41;1831690;NA;10;NA;NA;NA;1;1
Gauge;NA;2018-03-31;2018-04-02;NA;NA;Comunicacao;Baixo;ALERTA DE RISCO 04961/18: (BAIXO) Perfil publica critica sobre propaganda do Itaú;23;23;21508;NA;8;NA;NA;NA;3;1
Gauge;NA;2018-04-02;2018-04-02;NA;NA;Comunicacao;Sem impacto;ALERTA INFORMATIVO 04964/18: Influenciador associa a Copa com tema político;0;NA;NA;NA;NA;NA;NA;NA;1;1
Gauge;NA;2018-04-02;2018-04-03;NA;NA;Produtos e Serviços;Moderado;ALERTA DE RISCO 06962/18: (MODERADO) Usuários relatam problemas de instabilidade no site e apps do Itaú;158;114;13852,107;NA;79;NA;NA;NA;2;4
Gauge;NA;2018-04-02;2018-04-03;NA;NA;Comunicacao;Baixo;ALERTA INFORMATIVO 04966/18:(BAIXO) Internautas divulgam que Anitta e Thiaguinho estarão em nova propaganda do Itaú;103;97;114208;NA;51;NA;NA;NA;2;1
Gauge;NA;2018-04-02;2018-04-02;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 04965/18:(BAIXO) Jornalista critica comercial da Copa;16;16;15800;NA;16;NA;NA;NA;1;1
Gauge;NA;2018-04-03;2018-04-03;NA;NA;Comunicacao;Sem impacto;ALERTA INFORMATIVO 04968/18: Cantor Roger utiliza tweet do Itaú para realizar crítica política;0;NA;NA;NA;NA;NA;NA;NA;1;1
Gauge;NA;2018-04-03;2018-04-06;NA;NA;Produtos e Serviços;Extremo;ALERTA INFORMATIVO 06969/18: (EXTREMO) Repercussão Apple Pay;1228;813;314643671;NA;307;NA;NA;NA;4;7
Gauge;NA;2018-04-03;2018-04-03;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08967/18: (BAIXO) Influenciador realiza associação de manifestação política com o banco;88;88;8403;NA;88;NA;NA;NA;1;1
