Iniciativa;Dia/Semana;Data Inicial;Data Final;Principal usuario;Mencao inicial;Assunto;Impacto;Titulos;Posts;Usuarios;Alcance Potencial;RTs;Posts/Dia;Sent. Positivo;Sent. Negativo;Sent. Neutro;Duracao;Atualizacoes
Gauge;Segunda;2019-12-02;2019-12-02;NA;NA;Fraude e Vazamento;Baixo;ALERTA 01579/19: (Baixo) Usuária reclama por compra indevida;61;34;54016;29;61;NA;NA;NA;1;0
Gauge;Segunda;2019-12-02;2019-12-02;Jr Gurgel;https://twitter.com/JrGurgeljornal/status/1201263367551430659;Relações Políticas;Moderado;ALERTA 08580/19: (Moderado) Influenciador associa o Itaú ao partido Rede Sustentabilidade;143;143;276130;142;143;NA;NA;NA;1;0
Gauge;Segunda;2019-12-02;2019-12-05;NA;NA;Segurança Fisica;Alto;ALERTA 05581/19: (ALTO) Repercussão sobre sequestro de Gerente do Itaú e família;440;439;1411200;436;88;NA;1;NA;4;3
Gauge;Terça;2019-12-03;2019-12-05;Biazinha;https://twitter.com/crvgbeanonato/status/1201893831270182912;Diversidade;Baixo;ALERTA 02582/19: (Baixo) Cliente acusa funcionaria de suposto racismo;41;41;46406;40;14;NA;NA;NA;3;2
Gauge;Terça;2019-12-03;2019-12-05;NA;NA;Produtos e Serviços;Baixo;ALERTA 06583/19: (Baixo) Influenciador critica o Itaú por suposta cobrança;31;31;77741;29;10;NA;NA;NA;3;1
Gauge;Quarta;2019-12-04;2019-12-26;NA;NA;Diversidade;Extremo;ALERTA 02584/19 (Extremo): Críticas à post com pouca diversidade no LinkedIn;4908;4168;7339810;3964;234;NA;1;NA;23;27
Gauge;Quinta;2019-12-05;2019-12-05;@danubiaabreu;https://twitter.com/danubiaabreu/status/1202680317666103301;Diversidade;Baixo;ALERTA 02585/19: (Baixo) Internauta relata suposto caso de homofobia por gerente do Itaú;1;1;208;0;1;NA;NA;NA;1;0
Gauge;Quinta;2019-12-05;2019-12-15;NA;NA;Relações Políticas;Alto;ALERTA 08586/19: (ALTO) CPI da Sonegação Tributária;688;615;21283886;512;63;NA;1;NA;11;15
Gauge;Quinta;2019-12-05;2019-12-09;NA;NA;Instabilidade;Baixo;ALERTA 10587/19: (Baixo) Repercussão sobre cartões bloqueados indevidamente;30;27;24144;1;6;NA;NA;NA;5;6
Gauge;Quarta;2019-11-27;2019-12-06;NA;NA;Comunicação;Baixo;ALERTA 04588/19: (Baixo) Criticas a campanha #DeRepenteAdulto;26;23;115001;4;3;NA;NA;NA;10;0
Gauge;Sexta;2019-12-06;2019-12-08;NA;NA;Institucional;Moderado;ALERTA 07589/19: (Moderado) Crítica à possível aquisição de portais de notícias pelos bancos Itaú, BTG e Banco Brasil Plural;300;297;575741;297;100;NA;NA;NA;3;1
Gauge;Sábado;2019-12-07;2019-12-10;NA;NA;Produtos e Serviços;NA;ALERTA 06590/19: Influenciador reclama do programa de pontos do Personnalité;0;NA;NA;NA;NA;NA;NA;NA;4;3
Gauge;Sexta;2019-12-13;2019-12-14;@viaheylla;https://twitter.com/viaheylla/status/1205474511023411200;Agência;Baixo;ALERTA 11591/19: (Baixo) Repercussão sobre o encerramento da agência 6071 Duas Barras;1;1;112;0;1;NA;NA;NA;2;0
